Regiao;Ano;Consumo_Servicos;Consumo_Agricultura;Consumo_Industria;Consumo_Domestico;CDD;HDD;POP;IA;IB;IC;ID;IE;DA;DB;DC;DD;DE;VAB_Agricultura;VAB_Industria;VAB_Servicos;Salarios;D1;D2;D3;I1;I2;I3;I4;I5
Alentejo Central;1995;86211229;24755291;96832554;126257024;320,43;735,6;173589;208,6078879;216,3730516;178,0325558;152,7957737;135,7285909;342,5044188;235,6035176;206,4335532;197,1950732;158,1986333;403,8742539;457,1028335;1072,825313;8124,480299;15,82176659;14,67690798;11,51833376;12,10984472;9,441055261;7,209294394;6,31769052;-5,283300638
Alentejo Central;1996;96945153;30525515;104636278;136552649;255,52;977,31;173458;190,2267667;197,3670615;162,0536471;138,6924652;123,0148614;319,1331241;222,0648368;197,5127246;189,9526193;154,9715386;437,9701603;482,7413609;1081,672393;8541,159855;15,62968621;14,49872649;11,37849818;11,46693587;9,116659359;7,017872939;6,150828212;-3,517135095
Alentejo Central;1997;98558039;33226158;108365320;139876622;219,94;684,08;173365;181,6240445;188,4763612;154,5912783;132,0765232;117,0164864;312,0096746;216,1109327;192,4811616;184,3114029;151,0185906;397,1693159;530,6358806;1151,407588;8883,092675;18,06461113;16,75746092;13,15113701;11,85641087;9,650124077;7,511913121;6,613140978;-1,906371491
Alentejo Central;1998;109361482;39703301;121530052;148427476;309,87;952,19;173314;171,6585205;178,0598456;145,9060635;124,5683134;110,1469375;314,2817588;210,6588681;187,8065995;181,0184239;149,4854642;372,4541067;567,2442199;1223,022444;9163,683161;17,62200432;16,34688102;12,82891681;11,34873593;9,134737978;7,206666694;6,299687593;-0,391213412
Alentejo Central;1999;123208900;40572489;142403627;161995815;281,31;1061,63;173298;160,6860922;157,5297583;129,1227527;110,184749;97,41594342;302,9404971;203,9656473;182,2664957;175,9299766;145,9784642;381,970927;528,0632788;1294,5302;9630,799368;17,25362053;16,00515337;12,56073136;10,46049011;8,270610286;6,390456128;5,492507861;1,053286107
Alentejo Central;2000;134239594;38458056;161000079;175900919;282,71;1047,17;173459;156,1708754;153,0867109;125,4694196;107,1046219;94,6277746;292,7677972;196,0561601;176,8724926;169,291407;142,873023;408,9293718;807,0277185;1459,119629;10449,5061;20,16591267;18,70671287;14,68089618;11,48692577;9,535904983;8,023352982;7,046317394;2,431095719
Alentejo Central;2001;143706808;45631032;166123230;186363039;282,56;1010,05;173501;153,7516048;150,6165987;123,4919805;105,3634668;93,09605149;284,9689008;193,367734;175,2605359;168,1908768;140,6382134;370,4459544;810,1864485;1542,417562;11049,71026;22,67465388;21,03392226;16,50727369;13,4089718;11,64488995;10,27877779;9,0789934;3,726775572
Alentejo Central;2002;153207137;44494262;165684006;194000596;170,16;964,83;173226;150,9707138;137,1273785;113,8810229;99,51529751;91,1570573;280,1789673;191,8648385;171,5355763;163,7254761;136,0460989;369,7933605;548,3932821;1591,004084;11430,39947;23,04175283;21,37445804;16,77452376;12,51129563;10,54879054;8,944782748;7,539937246;4,876709508
Alentejo Central;2003;162212704;50349774;172102238;206328767;347,69;1066,14;172760;149,8845863;133,8120171;111,1213312;97,12874159;88,9348828;275,0511733;190,2602173;170,043525;161,5282265;137,8782286;332,1487814;565,0421997;1583,624569;11686,92398;23,06256103;21,23470022;16,01794345;11,64443928;9,905021649;8,521700984;7,335050121;5,967842222
Alentejo Central;2004;166990752;52345052;178590470;215743772;367,82;1166,6;172273;148,1399061;131,7749041;109,425685;95,5032206;87,60568232;227,9837054;160,7841593;146,919667;140,8264489;128,7051023;331,8199558;546,9647749;1589,00872;12237,80523;23,06162595;21,12387944;14,17893083;10,86402856;9,41143622;8,114837772;6,744000758;5,584049341
